slug,nombre,division,descripcion
ficcion,Ficción,Letras,"Novela estadounidense (llamada ""Novel"" hasta 1947 y ""Fiction"" desde 1948)."
teatro,Teatro,Teatro,Obras de teatro estrenadas en Estados Unidos.
historia,Historia,Letras,Libros de historia sobre Estados Unidos.
biografia,Biografía o Autobiografía,Letras,Biografías y autobiografías distinguidas.
memorias,Memorias,Letras,"Categoría separada de Memorias o Vida Personal, creada en 2023."
no-ficcion-general,No Ficción General,Letras,Libros de no ficción que no encajan en otras categorías de Letras.
poesia,Poesía,Letras,Libros de poesía originales de un autor estadounidense.
